provider,providerName,offsetRatio,region,regionName,country,state,city,impact,source,comment
gcp,Google Cloud Platform,100,asia-east1,,Taiwan,,Changhua County,557,"measured on  July 2, 2019 between 8 and 9 PM, EST on www.electricitymap.org",
gcp,Google Cloud Platform,100,asia-east2,,China,,Hong Kong,702,https://www.sciencedirect.com/science/article/pii/S095965261731627X,
gcp,Google Cloud Platform,100,asia-northeast1,,Japan,,Tokyo,516,https://www.sciencedirect.com/science/article/pii/S095965261731627X,
gcp,Google Cloud Platform,100,asia-northeast2,,Japan,,Osaka,516,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf,
gcp,Google Cloud Platform,100,asia-south1,,India,,Mumbai,920,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf,
gcp,Google Cloud Platform,100,asia-southeast1,,Singapore,,Jurong West,419,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf,
gcp,Google Cloud Platform,100,australia-southeast1,,Australia,,Sydney,802,http://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17,
gcp,Google Cloud Platform,100,europe-north1,,Finland,,Hamina,211,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
gcp,Google Cloud Platform,100,europe-west1,,Belgium,,St. Ghislain,267,https://blog.google/around-the-globe/google-europe/time-shine-new-solar-facility-and-additional-data-center-belgium/,
gcp,Google Cloud Platform,100,europe-west2,,United Kingdom,England,London,623,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
gcp,Google Cloud Platform,100,europe-west3,,Germany,,Frankfurt,615,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
gcp,Google Cloud Platform,100,europe-west4,,Netherlands,,Eemshaven,569,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
gcp,Google Cloud Platform,100,europe-west6,,Switzerland,,Zürich,16,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
gcp,Google Cloud Platform,100,northamerica-northeast1,,Canada,Québec,Montréal,20,Hydro-Québec,
gcp,Google Cloud Platform,100,southamerica-east1,,Brazil,,São Paulo,205,https://pdfs.semanticscholar.org/bd2a/69da81529a0f8dd16573dfd38e9d7468637e.pdf,
gcp,Google Cloud Platform,100,us-central1,,USA,Iowa,Council Bluffs,566.3,eGRID,
gcp,Google Cloud Platform,100,us-east1,,USA,South Carolina,Moncks Corner,367.8,eGRID,
gcp,Google Cloud Platform,100,us-east4,,USA,Northern Virginia,Ashburn,367.8,eGRID,
gcp,Google Cloud Platform,100,us-west1,,USA,Oregon,The Dalles,297.6,eGRID,
gcp,Google Cloud Platform,100,us-west2,,USA,California,Los Angeles,240.6,eGRID,
aws,Amazon Web Services,0,us-east-2,US East (Ohio),USA,,Columbus,568.2,eGRID,
aws,Amazon Web Services,0,us-east-1,US East (N. Virginia),USA,,Ashburn,367.8,eGRID,
aws,Amazon Web Services,0,us-west-1,US West (N. California),USA,,San Francisco,240.6,eGRID,
aws,Amazon Web Services,100,us-west-2,US West (Oregon),USA,,Portland,297.6,eGRID,
aws,Amazon Web Services,0,ap-east-1,Asia Pacific (Hong Kong),China,,Hong Kong,702,https://www.sciencedirect.com/science/article/pii/S095965261731627X,
aws,Amazon Web Services,0,ap-south-1,Asia Pacific (Mumbai),India,,Mumbai,920,http://www.cea.nic.in/reports/others/thermal/tpece/cdm_co2/user_guide_ver13.pdf,
aws,Amazon Web Services,0,ap-northeast-3,Asia Pacific (Osaka-Local),Japan,,Osaka,516,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf,
aws,Amazon Web Services,0,ap-northeast-2,Asia Pacific (Seoul),South Korea,,Seoul,517,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
aws,Amazon Web Services,0,ap-southeast-1,Asia Pacific (Singapore),Singapore,,Singapore,419,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf,
aws,Amazon Web Services,0,ap-southeast-2,Asia Pacific (Sydney),Australia,,Sydney,802,http://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17,
aws,Amazon Web Services,0,ap-northeast-1,Asia Pacific (Tokyo),Japan,,Tokyo,516,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf,
aws,Amazon Web Services,100,ca-central-1,Canada (Central),Canada,,Montreal,20,Hydro-Québec,
aws,Amazon Web Services,0,cn-north-1,China (Beijing),China,,Beijing,680,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
aws,Amazon Web Services,0,cn-northwest-1,China (Ningxia),China,,Zhongwei,680,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
aws,Amazon Web Services,100,eu-central-1,EU (Frankfurt),Germany,,Frankfurt am Main,615,"measured on  July 2, 2019 between 8 and 9 PM, EST on www.electricitymap.org",
aws,Amazon Web Services,100,eu-west-1,EU (Ireland),Ireland,,Dublin,617,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
aws,Amazon Web Services,0,eu-west-2,EU (London),United Kingdom,,London,623,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
aws,Amazon Web Services,0,eu-west-3,EU (Paris),France,,Paris,105,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
aws,Amazon Web Services,0,eu-north-1,EU (Stockholm),Sweden,,Stockholm,47,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
aws,Amazon Web Services,0,sa-east-1,South America (São Paulo),Brazil,,Sao Paulo,205,https://pdfs.semanticscholar.org/bd2a/69da81529a0f8dd16573dfd38e9d7468637e.pdf,
aws,Amazon Web Services,0,us-gov-east-1,AWS GovCloud (US-East),USA,,Dublin,568.2,eGRID,
aws,Amazon Web Services,100,us-gov-west-1,AWS GovCloud (US),USA,,Seattle,297.6,eGRID,
azure,Azure,100,eastasia,East Asia,Hong Kong,Wanchai,Wan Chai,702,https://www.sciencedirect.com/science/article/pii/S095965261731627X,
azure,Azure,100,southeastasia,Southeast Asia,Singapore,,Singapore,419,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf,
azure,Azure,100,centralus,Central US,USA,Iowa,Des Moines,736.6,eGRID (seem to be in the SRMW grid),
azure,Azure,100,eastus,East US,USA,Virginia,Blue Ridge,367.8,eGRID,
azure,Azure,100,eastus2,East US 2,USA,Virginia,Boydton,367.8,eGRID,
azure,Azure,100,westus,West US,USA,California,San Francisco,240.6,eGRID,
azure,Azure,100,northcentralus,North Central US,USA,Illinois,Chicago,568.2,eGRID,
azure,Azure,100,southcentralus,South Central US,USA,Texas,San Antonio,460.4,eGRID,
azure,Azure,100,northeurope,North Europe,Ireland,Leinster,Dublin,617,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
azure,Azure,100,westeurope,West Europe,Netherlands,North Holland,Amsterdam,569,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
azure,Azure,100,japanwest,Japan West,Japan,Osaka,Osaka-shi,516,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf,
azure,Azure,100,japaneast,Japan East,Japan,Tokyo,Tokyo,516,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf,
azure,Azure,100,brazilsouth,Brazil South,Brazil,Sao Paulo,Sao Paulo,205,https://pdfs.semanticscholar.org/bd2a/69da81529a0f8dd16573dfd38e9d7468637e.pdf,
azure,Azure,100,australiaeast,Australia East,Australia,New South Wales,Sydney,802,http://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17,
azure,Azure,100,australiasoutheast,Australia Southeast,Australia,Victoria,Melbourne,805,http://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17,
azure,Azure,100,southindia,South India,India,Tamil Nadu,Pallavaram,920,http://www.cea.nic.in/reports/others/thermal/tpece/cdm_co2/user_guide_ver13.pdf,
azure,Azure,100,centralindia,Central India,India,Maharashtra,Lohogaon,920,http://www.cea.nic.in/reports/others/thermal/tpece/cdm_co2/user_guide_ver13.pdf,
azure,Azure,100,westindia,West India,India,Maharashtra,Mumbai,920,http://www.cea.nic.in/reports/others/thermal/tpece/cdm_co2/user_guide_ver13.pdf,
azure,Azure,100,canadacentral,Canada Central,Canada,Ontario,Toronto,69.3,Calculated from IESO,
azure,Azure,100,canadaeast,Canada East,Canada,Quebec,Quebec,20,Hydro-Québec,
azure,Azure,100,uksouth,UK South,United Kingdom,England,Midhurst,623,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
azure,Azure,100,ukwest,UK West,United Kingdom,England,Wallasey,623,https://www.sciencedirect.com/science/article/pii/S1361920916307933,
azure,Azure,100,westcentralus,West Central US,USA,Wyoming,Mountain View,297.6,,"it is not clear which grid power this zone, could be or 297.6, not sure"
azure,Azure,100,westus2,West US 2,USA,Washington,Quincy,297.6,eGRID,
azure,Azure,100,koreacentral,Korea Central,South Korea,Seoul,Seoul,517,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,koreasouth,Korea South,South Korea,Busan,Busan,517,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,francecentral,France Central,France,Auvergne,Huriel,105,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,francesouth,France South,France,Midi-Pyrenees,Realmont,105,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,australiacentral,Australia Central,Australia,Australian Capital Territory,Forrest,900,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,australiacentral2,Australia Central 2,Australia,Australian Capital Territory,Forrest,900,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,southafricanorth,South Africa North,South Africa,Gauteng,Pretoria,1009,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,southafricawest,South Africa West,South Africa,Western Cape,Stellenbosch,1009,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
