country,code,,,,
Afghanistan,AFG,,Afghanistan,,TRUE
Albania,ALB,,Albania,,TRUE
Algeria,DZA,,Algeria,,TRUE
American Samoa,ASM,,American Samoa,,TRUE
Angola,AGO,,Angola,,TRUE
Anguilla,AIA,,Antarctica,,FALSE
Antigua and Barbuda,ATG,,Antigua and Barbuda,,TRUE
Argentina,ARG,,Argentina,,TRUE
Armenia,ARM,,Armenia,,TRUE
Aruba,ABW,,Aruba,,TRUE
Australia,AUS,,Australia,,TRUE
Austria,AUT,,Austria,,TRUE
Azerbaijan,AZE,,Azerbaijan,,TRUE
Bahama The,BHM,,Bahama The,,TRUE
Bahrain,BHR,,Bahrain,,TRUE
Bangladesh,BGD,,Bangladesh,,TRUE
Barbados,BRB,,Barbados,,TRUE
Belarus,BLR,,Belarus,,TRUE
Belgium,BEL,,Belgium,,TRUE
Belize,BLZ,,Belize,,TRUE
Benin,BEN,,Benin,,TRUE
Bermuda,BMU,,Bermuda,,TRUE
Bhutan,BTN,,Bhutan,,TRUE
Bolivia,BOL,,Bolivia,,TRUE
Bosnia and Herzegovina,BIH,,Bosnia and Herzegovina,,TRUE
Botswana,BWA,,Botswana,,TRUE
Brazil,BRA,,Brazil,,TRUE
British Virgin Islands,VGB,,Brunei,,FALSE
Brunei,BRN,,Bulgaria,,FALSE
Bulgaria,BGR,,Burkina Faso,,FALSE
Burkina Faso,BFA,,Burma (Myanmar),,FALSE
Burma,MMR,,Burundi,,FALSE
Burundi,BDI,,Cambodia,,FALSE
Cabo Verde,CPV,,Cameroon,,FALSE
Cambodia,KHM,,Canada,,FALSE
Cameroon,CMR,,Cape Verde,,FALSE
Canada,CAN,,Cayman Islands,,FALSE
Cayman Islands,CYM,,Central African Republic,,FALSE
Central African Republic,CAF,,Chad,,FALSE
Chad,TCD,,Chile,,FALSE
Chile,CHL,,China,,FALSE
China,CHN,,Colombia,,FALSE
Colombia,COL,,Comoros,,FALSE
Comoros,COM,,Congo (Brazzaville),,FALSE
"Congo, Democratic Republic of the",COD,,Congo (Kinshasa),,FALSE
"Congo, Republic of the",COG,,Cook Islands,,FALSE
Cook Islands,COK,,Costa Rica,,FALSE
Costa Rica,CRI,,Cote dIvoire (IvoryCoast),,FALSE
Cote d'Ivoire,CIV,,Croatia,,FALSE
Croatia,HRV,,Cuba,,FALSE
