"Name","Series","# of CPU Cores","# of Threads","Max. Boost Clock","All Core Boost Speed","Base Clock","L3 Cache","1kU Pricing","Default TDP","AMD Configurable TDP (cTDP)","CPU Socket","Socket Count","Launch Date","PCI Express® Version","System Memory Type","Memory Channels","System Memory Specification","Per Socket Mem BW","Product ID Boxed","Product ID Tray","AMD Infinity Guard","Supported Technologies","Workload Affinity"
"AMD EPYC™ 9965","EPYC 9005 Series","192","384","Up to 3.7 GHz","3.35 GHz","2.25 GHz","384 MB","14813 USD","500W","450-500W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000000976","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , Content mgmt , HPC , Media streaming , Networking|NFV , Security , VDI , VM Density , Web Serving , CDC"
"AMD EPYC™ 9845","EPYC 9005 Series","160","320","Up to 3.7 GHz","3.25 GHz","2.1 GHz","320 MB","13564 USD","390W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001458","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CDC , Content mgmt , HPC , Media streaming , Networking|NFV , Security , VDI , VM Density , Web Serving"
"AMD EPYC™ 9825","EPYC 9005 Series","144","288","Up to 3.7 GHz","3.3 GHz","2.2 GHz","384 MB","13006 USD","390W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000000837","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CDC , Content mgmt , HPC , Media streaming , Networking|NFV , Security , VDI , VM Density , Web Serving"
"AMD EPYC™ 9755","EPYC 9005 Series","128","256","Up to 4.1 GHz","4.1 GHz","2.7 GHz","512 MB","12984 USD","500W","450-500W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001443","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , Content mgmt , HPC , Media streaming , Networking|NFV , Security , VDI , VM Density , Web Serving , CDC"
"AMD EPYC™ 9745","EPYC 9005 Series","128","256","Up to 3.7 GHz","3.45 GHz","2.4 GHz","256 MB","12141 USD","400W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001460","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , Content mgmt , HPC , Media streaming , Networking|NFV , Security , VDI , VM Density , Web Serving , CDC"
"AMD EPYC™ 9655P","EPYC 9005 Series","96","192","Up to 4.5 GHz","4.1 GHz","2.6 GHz","384 MB","10811 USD","400W","320-400W","SP5","1P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001522","","AMD Infinity Guard , AMD Infinity Architecture","CAE|CFD|FEA , High capacity data mgmt (NR|RDBMS) , HPC"
"AMD EPYC™ 9655","EPYC 9005 Series","96","192","Up to 4.5 GHz","4.1 GHz","2.6 GHz","384 MB","11852 USD","400W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000000674","","AMD Infinity Guard , AMD Infinity Architecture","CAE|CFD|FEA , High capacity data mgmt (NR|RDBMS) , HPC"
"AMD EPYC™ 9645","EPYC 9005 Series","96","192","Up to 3.7 GHz","3.3 GHz","2.3 GHz","256 MB","11048 USD","320W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001461","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Consumer-Oriented Digital Services , Content mgmt , ERM|SCM|CRM apps"
"AMD EPYC™ 9575F","EPYC 9005 Series","64","128","Up to 5 GHz","4.5 GHz","3.3 GHz","256 MB","11791 USD","400W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001554","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9565","EPYC 9005 Series","72","144","Up to 4.3 GHz","4.2 GHz","3.15 GHz","384 MB","10486 USD","400W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001447","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , HPC , VM Density"
