"Name","Family","Series","Form Factor","# of CPU Cores","# of Threads","Max. Boost Clock","Base Clock","L2 Cache","L3 Cache","Default TDP","L1 Cache","AMD Configurable TDP (cTDP)","Processor Technology for CPU Cores","Unlocked for Overclocking","CPU Socket","Thermal Solution (PIB)","Recommended Cooler","Thermal Solution (MPK)","Max. Operating Temperature (Tjmax)","Launch Date","*OS Support","PCI Express® Version","System Memory Type","Memory Channels","System Memory Specification","Graphics Model","Graphics Core Count","Graphics Frequency","AMD Ryzen™ AI","Product ID Boxed","Product ID Tray","Product ID MPK","Supported Technologies"
"AMD Ryzen™ Threadripper™ PRO 9995WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 9000 WX-Series","Desktops","96","192","Up to 5.4 GHz","2.5 GHz","96 MB","384 MB","350W","7680 KB","","TSMC 4nm FinFET","Yes","sTR5","Not Included","","","95°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 10 - 64-Bit Edition","PCIe® 5.0","DDR5","8","Up to 6400 MT/s","Discrete Graphics Card Required","","","","100-100001361WOF","100-000001361","","AMD EXPO™ Technology , AMD PRO technologies , AMD Ryzen™ Technologies"
"AMD Ryzen™ Threadripper™ PRO 9985WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 9000 WX-Series","Desktops","64","128","Up to 5.4 GHz","3.2 GHz","64 MB","256 MB","350W","5120 KB","","TSMC 4nm FinFET","Yes","sTR5","Not Included","","","95°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 10 - 64-Bit Edition","PCIe® 5.0","DDR5","8","Up to 6400 MT/s","Discrete Graphics Card Required","","","","100-100000722WOZ","100-000000722","","AMD EXPO™ Technology , AMD PRO technologies , AMD Ryzen™ Technologies"
"AMD Ryzen™ AI Max+ PRO 395","Ryzen PRO","Ryzen AI Max PRO 300 Series","Laptops , Desktops","16","32","Up to 5.1 GHz","3 GHz","16 MB","64 MB","55W","","45-120W","TSMC 4nm FinFET","","FP11","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","256-bit LPDDR5x","","","Radeon 8060S Graphics","40","2900 MHz","Available","","100-000001243","",""
"AMD Ryzen™ Threadripper™ PRO 9975WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 9000 WX-Series","Desktops","32","64","Up to 5.4 GHz","4 GHz","32 MB","128 MB","350W","2560 KB","","TSMC 4nm FinFET","Yes","sTR5","Not Included","","","95°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 10 - 64-Bit Edition","PCIe® 5.0","DDR5","8","Up to 6400 MT/s","Discrete Graphics Card Required","","","","100-100000723WOF","100-000000723","","AMD EXPO™ Technology , AMD PRO technologies , AMD Ryzen™ Technologies"
"AMD Ryzen™ AI Max PRO 390","Ryzen PRO","Ryzen AI Max PRO 300 Series","Laptops , Desktops","12","24","Up to 5 GHz","3.2 GHz","12 MB","64 MB","55W","","45-120W","TSMC 4nm FinFET","","FP11","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","256-bit LPDDR5x","","","Radeon 8050S Graphics","32","2800 MHz","Available","","100-000001421","",""
"AMD Ryzen™ Threadripper™ PRO 9965WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 9000 WX-Series","Desktops","24","48","Up to 5.4 GHz","4.2 GHz","24 MB","128 MB","350W","1920 KB","","TSMC 4nm FinFET","Yes","sTR5","Not Included","","","95°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 10 - 64-Bit Edition","PCIe® 5.0","DDR5","8","Up to 6400 MT/s","Discrete Graphics Card Required","","","","100-100000724WOF","100-000000724","","AMD EXPO™ Technology , AMD PRO technologies , AMD Ryzen™ Technologies"
"AMD Ryzen™ AI Max PRO 385","Ryzen PRO","Ryzen AI Max PRO 300 Series","Laptops , Desktops","8","16","Up to 5 GHz","3.6 GHz","8 MB","32 MB","55W","","45-120W","TSMC 4nm FinFET","","FP11","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","256-bit LPDDR5x","","","Radeon 8050S Graphics","32","2800 MHz","Available","","100-000001422","",""
"AMD Ryzen™ Threadripper™ PRO 9955WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 9000 WX-Series","Desktops","16","32","Up to 5.4 GHz","4.5 GHz","16 MB","64 MB","350W","1280 KB","","TSMC 4nm FinFET","Yes","sTR5","Not Included","","","95°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 10 - 64-Bit Edition","PCIe® 5.0","DDR5","8","Up to 6400 MT/s","Discrete Graphics Card Required","","","","","100-000000725","","AMD EXPO™ Technology , AMD PRO technologies , AMD Ryzen™ Technologies"
"AMD Ryzen™ AI Max PRO 380","Ryzen PRO","Ryzen AI Max PRO 300 Series","Laptops , Desktops","6","12","Up to 4.9 GHz","3.6 GHz","6 MB","16 MB","55W","","45-120W","TSMC 4nm FinFET","","FP11","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","128-bit LPDDR5x","","","Radeon 8040S Graphics","16","2800 MHz","Available","","100-000001425","",""
"AMD Ryzen™ Threadripper™ PRO 9945WX","Ryzen Threadripper PRO","Ryzen Threadripper PRO 9000 WX-Series","Desktops","12","24","Up to 5.4 GHz","4.7 GHz","12 MB","64 MB","350W","960 KB","","TSMC 4nm FinFET","Yes","sTR5","Not Included","","","95°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 10 - 64-Bit Edition","PCIe® 5.0","DDR5","8","Up to 6400 MT/s","Discrete Graphics Card Required","","","","","100-000000726","","AMD EXPO™ Technology , AMD PRO technologies , AMD Ryzen™ Technologies"
"AMD Ryzen™ AI 9 HX PRO 375","Ryzen PRO","Ryzen AI PRO 300 Series","Laptops , Desktops","12","24","Up to 5.1 GHz","2 GHz","12 MB","24 MB","28W","","15-54W","TSMC 4nm FinFET","","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 890M","16","2900 MHz","Available","","100-000001683","",""
"AMD Ryzen™ Threadripper™ 9980X","Ryzen Threadripper","Ryzen Threadripper 9000 Series","Desktops","64","128","Up to 5.4 GHz","3.2 GHz","64 MB","256 MB","350W","5120 KB","","TSMC 4nm FinFET","Yes","sTR5","Not Included","","","95°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 10 - 64-Bit Edition","PCIe® 5.0","DDR5","4","Up to 6400 MT/s","Discrete Graphics Card Required","","","","100-100001593WOF","100-000001593","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
"AMD Ryzen™ AI 9 HX PRO 370","Ryzen PRO","Ryzen AI PRO 300 Series","Laptops , Desktops","12","24","Up to 5.1 GHz","2 GHz","12 MB","24 MB","28W","","15-54W","TSMC 4nm FinFET","","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 890M","16","2900 MHz","Available","","100-000001569","",""
"AMD Ryzen™ Threadripper™ 9970X","Ryzen Threadripper","Ryzen Threadripper 9000 Series","Desktops","32","64","Up to 5.4 GHz","4 GHz","32 MB","128 MB","350W","2560 KB","","TSMC 4nm FinFET","Yes","sTR5","Not Included","","","95°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 10 - 64-Bit Edition","PCIe® 5.0","DDR5","4","Up to 6400 MT/s","Discrete Graphics Card Required","","","","100-100001594WOF","100-000001594","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
"AMD Ryzen™ AI 7 PRO 360","Ryzen PRO","Ryzen AI PRO 300 Series","Laptops , Desktops","8","16","Up to 5 GHz","2 GHz","8 MB","16 MB","28W","","15-54W","TSMC 4nm FinFET","","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 880M","12","2900 MHz","Available","","100-000001571","",""
"AMD Ryzen™ Threadripper™ 9960X","Ryzen Threadripper","Ryzen Threadripper 9000 Series","Desktops","24","48","Up to 5.4 GHz","4.2 GHz","24 MB","128 MB","350W","1920 KB","","TSMC 4nm FinFET","Yes","sTR5","Not Included","","","95°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit , Windows 10 - 64-Bit Edition","PCIe® 5.0","DDR5","4","Up to 6400 MT/s","Discrete Graphics Card Required","","","","100-100001595WOF","100-000001595","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
"AMD Ryzen™ AI 7 PRO 350","Ryzen PRO","Ryzen AI PRO 300 Series","Laptops , Desktops","8","16","Up to 5 GHz","2 GHz","8 MB","16 MB","28W","","15-54W","TSMC 4nm FinFET","","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 860M","8","3000 MHz","Available","","100-000000713","",""
"AMD Ryzen™ AI 5 PRO 340","Ryzen PRO","Ryzen AI PRO 300 Series","Laptops , Desktops","6","12","Up to 4.8 GHz","2 GHz","6 MB","16 MB","28W","","15-54W","TSMC 4nm FinFET","","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 840M","4","2900 MHz","Available","","100-000001600","",""
"AMD Ryzen™ AI Max+ 395","Ryzen","Ryzen AI Max 300 Series","Laptops , Desktops","16","32","Up to 5.1 GHz","3 GHz","16 MB","64 MB","55W","","45-120W","TSMC 4nm FinFET","","FP11","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","256-bit LPDDR5x","","","Radeon 8060S Graphics","40","2900 MHz","Available","","100-000001099","",""
"AMD Ryzen™ AI Max 390","Ryzen","Ryzen AI Max 300 Series","Laptops , Desktops","12","24","Up to 5 GHz","3.2 GHz","12 MB","64 MB","55W","","45-120W","TSMC 4nm FinFET","","FP11","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","256-bit LPDDR5x","","","Radeon 8050S Graphics","32","2800 MHz","Available","","100-000001423","",""
"AMD Ryzen™ AI Max 385","Ryzen","Ryzen AI Max 300 Series","Laptops , Desktops","8","16","Up to 5 GHz","3.6 GHz","8 MB","32 MB","55W","","45-120W","TSMC 4nm FinFET","","FP11","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","256-bit LPDDR5x","","","Radeon 8050S Graphics","32","2800 MHz","Available","","100-000001424","",""
"AMD Ryzen™ AI 9 HX 375","Ryzen","Ryzen AI 300 Series","Laptops , Desktops","12","24","Up to 5.1 GHz","2 GHz","12 MB","24 MB","28W","","15-54W","TSMC 4nm FinFET","","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 890M","16","2900 MHz","Available","","100-000001682","",""
"AMD Ryzen™ Z2 Extreme","Ryzen","Ryzen Z2","Handheld","8","16","Up to 5 GHz","2 GHz","8 MB","16 MB","28W","","15-35W","","","","","","","","","","","","","","AMD Radeon™ Graphics","16","","","","100-000001684","","AMD Radeon™ Super Resolution , AMD Radeon™ Boost , AMD Radeon™ Anti-Lag , AMD FreeSync™ Technology , AMD Radeon™ Chill , AMD HYPR-RX , AMD FidelityFX™ Super Resolution"
"AMD Ryzen™ Z2","Ryzen","Ryzen Z2","Handheld","8","16","Up to 5.1 GHz","3.3 GHz","8 MB","16 MB","28W","","15-30W","","","","","","","","","","","","","","AMD Radeon™ Graphics","12","","","","100-000001753","","AMD Radeon™ Super Resolution , AMD Radeon™ Boost , AMD Radeon™ Anti-Lag , AMD FreeSync™ Technology , AMD Radeon™ Chill , AMD HYPR-RX , AMD FidelityFX™ Super Resolution"
"AMD Ryzen™ AI 9 HX 370","Ryzen","Ryzen AI 300 Series","Laptops , Desktops","12","24","Up to 5.1 GHz","2 GHz","12 MB","24 MB","28W","","15-54W","TSMC 4nm FinFET","","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 890M","16","2900 MHz","Available","","100-000000994 (FP8)","",""
