cpu_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Xeon® 6732P Processor,Q2'25,32,4.3 GHz,3.8 GHz,144 MB,350.0
Intel® Xeon® 6774P Processor,Q2'25,64,3.90 GHz,2.50 GHz,336 MB,350.0
Intel® Xeon® 6776P Processor,Q2'25,64,3.90 GHz,2.30 GHz,336 MB,350.0
Intel® Xeon® 6716P-B Processor,Q2'25,40,3.5 GHz,2.5 GHz,160 MB,235.0
Intel® Xeon® 6745P Processor,Q1'25,32,4.30 GHz,3.10 GHz,336 MB,300.0
Intel® Xeon® 6315P Processor,Q1'25,4,5.2 GHz,2.8 GHz,12 MB,55.0
Intel® Xeon® 6325P Processor,Q1'25,4,5.2 GHz,3.5 GHz,12 MB,55.0
Intel® Xeon® 6333P Processor,Q1'25,6,4.6 GHz,3.1 GHz,18 MB,65.0
Intel® Xeon® 6337P Processor,Q1'25,6,5.3 GHz,3.5 GHz,18 MB,80.0
Intel® Xeon® 6349P Processor,Q1'25,6,5.7 GHz,3.6 GHz,18 MB,95.0
Intel® Xeon® 6353P Processor,Q1'25,8,5.4 GHz,2.7 GHz,24 MB,65.0
Intel® Xeon® 6357P Processor,Q1'25,8,5.4 GHz,3 GHz,24 MB,80.0
Intel® Xeon® 6369P Processor,Q1'25,8,5.7 GHz,3.3 GHz,24 MB,95.0
Intel® Xeon® 6505P Processor,Q1'25,12,4.10 GHz,2.20 GHz,48 MB,150.0
Intel® Xeon® 6507P Processor,Q1'25,8,4.30 GHz,3.50 GHz,48 MB,150.0
Intel® Xeon® 6511P Processor,Q1'25,16,4.20 GHz,2.30 GHz,72 MB,150.0
Intel® Xeon® 6513P-B Processor,Q1'25,20,3.3 GHz,2 GHz,80 MB,130.0
Intel® Xeon® 6515P Processor,Q1'25,16,3.80 GHz,2.30 GHz,72 MB,150.0
Intel® Xeon® 6516P-B Processor,Q1'25,20,3.5 GHz,2.3 GHz,80 MB,145.0
Intel® Xeon® 6517P Processor,Q1'25,16,4.20 GHz,3.20 GHz,72 MB,190.0
Intel® Xeon® 6520P Processor,Q1'25,24,4 GHz,2.4 GHz,144 MB,210.0
Intel® Xeon® 6521P Processor,Q1'25,24,4.1 GHz,2.6 GHz,144 MB,225.0
Intel® Xeon® 6523P-B Processor,Q1'25,24,3.9 GHz,2.5 GHz,96 MB,175.0
Intel® Xeon® 6527P Processor,Q1'25,24,4.2 GHz,3 GHz,144 MB,255.0
Intel® Xeon® 6530P Processor,Q1'25,32,4.1 GHz,2.3 GHz,144 MB,225.0
Intel® Xeon® 6533P-B Processor,Q1'25,32,3.9 GHz,2.2 GHz,128 MB,205.0
Intel® Xeon® 6543P-B Processor,Q1'25,32,3.3 GHz,2 GHz,128 MB,160.0
Intel® Xeon® 6546P-B Processor,Q1'25,32,3.5 GHz,2.3 GHz,128 MB,195.0
Intel® Xeon® 6553P-B Processor,Q1'25,36,4 GHz,2.6 GHz,144 MB,235.0
Intel® Xeon® 6556P-B Processor,Q1'25,36,3.5 GHz,2.3 GHz,144 MB,215.0
Intel® Xeon® 6563P-B Processor,Q1'25,38,4 GHz,2.4 GHz,152 MB,235.0
Intel® Xeon® 6706P-B Processor,Q1'25,40,3.5 GHz,2.5 GHz,160 MB,235.0
Intel® Xeon® 6724P Processor,Q1'25,16,4.30 GHz,3.60 GHz,72 MB,210.0
