task_name,load_type,cpu_name,timestamp,cores_used,cpu_load,temperature,cpu_freq,rapl_power,rapl_energy,estimated_power,estimated_energy,tapo_power,tapo_energy,tapo_time_delta,duration
Load for 0 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870539.3604305,16,0.6,0,1588.8038125,0.5890910446092622,0.0001549484709031223,0.5283870967741936,4.483109622193541e-06,0,0,0,30.545820467999988
Load for 10 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870570.4132967,16,10.0,0,1499.2493125,18.614618427174943,0.0002482180077409144,9.351290322580647,7.94934203722469e-05,0,0,0,30.604371506000007
Load for 20 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870601.5247905,16,20.0,0,1710.87575,29.50062862301284,0.0003278735881319947,18.08709677419355,0.00015376875545155633,0,0,0,30.60747165600003
Load for 30 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870632.6398633,16,30.0,0,2275.4458125,38.665937352398046,0.00035451283138781577,26.628387096774198,0.000226326359785935,0,0,0,30.59898082199993
Load for 40 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870663.7467482,16,40.3,0,2005.7899375,41.7532422053059,0.000365986424177794,35.12903225806452,0.0002984793734458876,0,0,0,30.587945687
Load for 50 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870694.8418806,16,50.0,0,2995.3906875,43.218847417139216,0.0004040316335028266,43.96064516129032,0.00037339789414168585,0,0,0,30.579274994000002
Load for 60 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870725.9287038,16,64.6,0,2995.0565625,47.60235461601638,0.0004135376972187821,52.64709677419356,0.0004470785513329841,0,0,0,30.572279641000023
Load for 70 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870757.008383,16,70.2,0,2995.4159375,48.71374809013383,0.00041818504176998825,61.33064516129033,0.0005208395157953634,0,0,0,30.573280777000036
Load for 80 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870788.0900218,16,80.0,0,2995.0515,49.29431270782221,0.00043202708951028436,69.78193548387098,0.0005926033291364812,0,0,0,30.572722531999943
Load for 90 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870819.169809,16,89.4,0,2995.3314375,50.71795701044753,0.00039116028792797984,78.46548387096773,0.0006661357492079613,0,0,0,30.563372235000088
Load for 100 threads or % load on all_cores,all_cores,AMD EPYC 8024P 8-Core Processor,1736870850.241218,16,100.0,0,2960.06425,46.07999203334885,0.0003927146597270323,86.62645161290322,0.0007355714738463658,0,0,0,30.57010326000011
