task_name,load_type,cpu_name,timestamp,cores_used,cpu_load,temperature,cpu_freq,rapl_power,rapl_energy,estimated_power,estimated_energy,tapo_power,tapo_energy,tapo_time_delta,duration
Load for 0 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861292.1865184,32,2.8,34.0,2332.872375,1.376693725703893,0.00036348698592824497,2.685483870967742,2.287107937566501e-05,115,0,25.784160137176514,30.67482220400052
Load for 10 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861323.3733351,32,13.9,39.0,2398.1069375,43.30157205175239,0.0005287301286782094,18.41632258064516,0.00015699294566882027,147,2,31.239955186843872,30.690144125997904
Load for 20 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861354.606225,32,23.2,49.0,2525.59284375,62.548275592287716,0.000667400991698144,51.95264516129033,0.0004430374025184006,198,1,31.248691082000732,30.67295572799776
Load for 30 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861385.796707,32,36.4,46.0,2797.5584375,79.17104774627222,0.0009009795239774861,82.75797881016943,0.0007061364594770959,226,2,31.160773754119873,30.710970439999073
Load for 40 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861417.028149,32,44.8,51.0,2821.1256562500002,106.32788732711822,0.0010895405520484095,121.69003144108179,0.001039181644778305,257,2,31.274537086486816,30.744163438001124
Load for 50 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861448.2934384,32,53.1,52.0,2987.12765625,128.12680031791092,0.0012224324344729436,150.75142340191675,0.0012868445490575916,219,2,31.180025577545166,30.71990360300333
Load for 60 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861479.5261245,32,66.0,56.0,3690.57340625,144.1489018144105,0.0014702612339858234,160.82284379438934,0.0013702119021750114,285,2,31.250231504440308,30.68199840700254
Load for 70 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861510.718988,32,72.1,57.0,3576.53553125,172.4348439188416,0.0014511648695420768,166.20343002665635,0.001415799954084005,278,3,31.177345514297485,30.66615740099951
Load for 80 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861541.892845,32,83.1,56.0,3418.62696875,170.32448690508448,0.0014419653435713518,169.0462755144238,0.001440005981082607,279,2,31.25270128250122,30.67268269300257
Load for 90 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861573.0767784,32,91.7,56.0,3357.159875,169.17512402821018,0.001424203854084394,170.99110652598637,0.0014592032859312692,277,2,31.135616064071655,30.722248964000755
Load for 100 threads or % load on all_cores,all_cores,AMD Ryzen Threadripper 1950X 16-Core Processor,1736861604.3297272,32,99.7,56.0,3323.42371875,166.8914474009169,0.0014241745394776087,172.01108915577154,0.0014670329755684629,278,3,31.260193586349487,30.684765958001663
