task_name,load_type,cpu_name,timestamp,cores_used,cpu_load,temperature,cpu_freq,rapl_power,rapl_energy,estimated_power,estimated_energy,tapo_power,tapo_energy,tapo_time_delta,duration
Load for 0 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864264.566133,8,2.5,55.4,1597.2875,0.24045452886021762,6.321467779392322e-05,0.9437419354838712,8.00299163331743e-06,0,0,0,30.530655949999982
Load for 10 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864295.6047955,8,10.3,56.0,1608.7538749999999,7.538504597340449,8.54672550404164e-05,7.728000000000001,6.558665694214691e-05,0,0,0,30.552170786000033
Load for 20 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864326.6656816,8,21.3,56.6,1596.3545,10.155731937011202,0.00010787949074796827,14.314161290322582,0.00012158928507307066,0,0,0,30.58094489799987
Load for 30 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864357.7544494,8,31.6,57.4,1597.23125,12.777656622991184,0.00012821319923714356,21.04277419354839,0.0001784956265845537,0,0,0,30.539114385999937
Load for 40 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864388.8024442,8,41.3,58.6,2180.2647500000003,15.395214417842357,0.0002021824959125328,27.571064516129034,0.00023397646594410047,0,0,0,30.551980603000175
Load for 50 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864419.8624222,8,51.9,61.8,1793.815125,24.21258198840792,0.0003044742055236128,34.221774193548384,0.00029040600192907343,0,0,0,30.55149350800002
Load for 60 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864450.9216642,8,62.0,78.2,3588.65625,36.60190500045977,0.0004947912699993662,40.71445161290323,0.00034540601126875473,0,0,0,30.542951248999998
Load for 70 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864481.9730074,8,70.0,87.6,3591.77275,59.21681786864419,0.0007304884855014321,47.18487096774194,0.0004002782981833257,0,0,0,30.540747797999984
Load for 80 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864513.0216124,8,80.0,92.4,3591.752625,86.28703440247716,0.0007775349425830115,53.49503225806452,0.00045366902355707455,0,0,0,30.532312602000047
Load for 90 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864544.062235,8,89.6,93.8,3591.755875,91.60016243312562,0.0007568507235356488,58.56987096774195,0.0004968053414603382,0,0,0,30.538087567000048
Load for 100 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,1736864575.1117647,8,84.6,93.4,3591.759375,89.35810683301246,0.0007923197952442191,63.940741935483864,0.0005423658388764648,0,0,0,30.537738765000086
