task_name,load_type,cpu_name,timestamp,cores_used,cpu_load,temperature,cpu_freq,rapl_power,rapl_energy,estimated_power,estimated_energy,tapo_power,tapo_energy,tapo_time_delta,duration
Load for 0 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736851743.3478487,24,0.0,32.92857142857143,1666.6777916666667,0.5133866472185064,0.00013516682896670684,0.13709677419354838,1.1643220985035955e-06,0,0,0,30.57596656700025
Load for 10 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736851774.4329672,24,10.0,34.0,1395.8670833333333,16.393231698147034,0.0002615093458739823,16.70387096774194,0.00014209152257347633,0,0,0,30.625665163999656
Load for 20 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736851805.5679224,24,20.0,35.214285714285715,1200.067875,30.981249858901204,0.00032480096234055456,33.150000000000006,0.00028184237688695906,0,0,0,30.609375409999302
Load for 30 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736851836.6865406,24,30.0,36.42857142857143,1200.0924166666666,38.4109895669274,0.0003803408392724292,49.54677419354839,0.00042138001590360423,0,0,0,30.619102634000228
Load for 40 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736851867.8147955,24,40.5,39.0,1359.3699583333334,45.28221173134997,0.0005286525493105876,65.92709677419354,0.000560481283428218,0,0,0,30.607923018999827
Load for 50 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736851898.9319813,24,50.2,40.07142857142857,1675.1815833333333,62.15733970891361,0.0005226188955947848,82.30741935483871,0.0006995284841773753,0,0,0,30.598696191000272
Load for 60 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736851930.0399046,24,60.0,42.42857142857143,2081.6238333333336,61.94885605758223,0.0006439153740207745,98.64935483870968,0.0008383901874825152,0,0,0,30.59755781199965
Load for 70 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736851961.1466608,24,69.9,47.42857142857143,2600.2822499999997,76.92334580239137,0.0009501084453639348,114.92,0.0009769654159054015,0,0,0,30.606379566000214
Load for 80 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736851992.2622006,24,80.8,49.714285714285715,2606.1148333333335,111.88460818853675,0.0009838415673504054,131.25645161290325,0.0011155469922320095,0,0,0,30.59841364100066
Load for 90 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852023.370749,24,89.7,51.642857142857146,2566.944875,115.80752337627442,0.0009980875206916026,147.63129032258067,0.0012548379009832316,0,0,0,30.60126471300009
Load for 100 threads or % load on all_cores,all_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852054.4802783,24,99.6,51.214285714285715,2400.266,117.01747308959027,0.0008921996457035876,163.77032258064517,0.001391876641844674,0,0,0,30.598267295999904
