task_name,load_type,cpu_name,timestamp,cores_used,cpu_load,temperature,cpu_freq,rapl_power,rapl_energy,estimated_power,estimated_energy,tapo_power,tapo_energy,tapo_time_delta,duration
Load for 0 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852095.9750729,0,0.0,42.142857142857146,1479.1971666666668,0.5065285278727721,0.00013308117646485332,0.10419354838709678,8.830525274655887e-07,0,0,0,30.511303407000014
Load for 2 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852126.9954355,2,8.7,41.0,1316.7375833333333,16.312251102677653,0.00029392221235980537,13.852258064516132,0.00011764077408649119,0,0,0,30.57471732799968
Load for 4 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852158.079285,4,17.0,40.142857142857146,1212.5389583333333,34.76638021452525,0.00033555079427375484,27.671612903225803,0.00023500116479415815,0,0,0,30.57451805099936
Load for 7 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852189.1629093,7,29.0,41.214285714285715,1361.3113333333333,39.833438799011766,0.0004206977390579236,48.15387096774193,0.00040898022458755426,0,0,0,30.57759773700036
Load for 9 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852220.2496197,9,37.9,41.0,1200.0558333333333,49.54412283036035,0.00042417380406099825,61.92387096774194,0.0005259465888520012,0,0,0,30.577943293000317
Load for 12 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852251.3367052,12,50.0,42.214285714285715,1254.2069583333334,50.48931782182756,0.0005688961442832166,82.45548387096774,0.0007003238567262363,0,0,0,30.577464056999816
Load for 14 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852282.4232924,14,58.7,43.642857142857146,1400.1012083333335,67.12624394179127,0.0006075904494053028,96.15419354838708,0.0008166565664626951,0,0,0,30.5767449519999
Load for 16 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852313.508811,16,66.7,44.642857142857146,1458.4309166666665,71.54867753236186,0.0006107800055680582,109.87483870967742,0.0009332072212445437,0,0,0,30.57744154000011
Load for 19 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852344.5952287,19,79.2,45.92857142857143,1721.068375,72.0308325399428,0.0006425051590037145,130.43387096774194,0.0011079623452897123,0,0,0,30.58129966099932
Load for 21 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852375.6856108,21,87.5,46.214285714285715,1712.7019166666666,75.74636452660306,0.0006716593131603499,144.1051612903226,0.001224281732537364,0,0,0,30.589186831000006
Load for 24 threads or % load on some_cores,some_cores,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1736852406.785565,24,100.0,48.07142857142857,2250.244458333333,79.60567601760141,0.0008177076741656131,164.37354838709678,0.0013961793068869984,0,0,0,30.57898776299953
