Name,TDP
AMD A10-4600M,35
AMD A10-4655M,25
AMD A10-5700,65
AMD A10-5745M,25
AMD A10-5750M,35
AMD A10-5757M,35
AMD A10-5800B,100
AMD A10-5800K,100
AMD A10-6700,65
AMD A10-6700T,45
AMD A10-6790K,100
AMD A10-6800K,100
AMD A10-7700K,95
AMD A10-7850K,95
AMD A10-7870K,95
AMD A10-7890K,95
AMD A10-9700,65
AMD A10-9700E,35
AMD A12-9800,65
AMD A12-9800E,35
AMD A4-1200,4
AMD A4-1250,8
AMD A4-1350,8
AMD A4-3300,65
AMD A4-3300M,35
AMD A4-3305M,35
AMD A4-3310MX,35
AMD A4-3320M,35
AMD A4-3330MX,45
AMD A4-3400,65
AMD A4-3420,65
AMD A4-4000,65
AMD A4-4300M,35
AMD A4-4355M,17
AMD A4-5000,15
AMD A4-5050,15
AMD A4-5145M,17
AMD A4-5150M,35
AMD A4-5300,65
AMD A4-5300B,65
AMD A4-6300,65
AMD A6-1450,8
AMD A6-3400M,35
AMD A6-3410MX,45
AMD A6-3420M,35
AMD A6-3430MX,45
AMD A6-3500,65
AMD A6-3600,65
AMD A6-3620,65
AMD A6-3650,100
AMD A6-3670K,100
AMD A6-4400M,35
AMD A6-4455M,17
AMD A6-5200,25
AMD A6-5345M,17
AMD A6-5350M,35
AMD A6-5357M,35
AMD A6-5400B,65
AMD A6-5400K,65
AMD A6-6400K,65
AMD A6-9120C SoC,6
AMD A6-9220C SoC,6
AMD A6-9500,65
AMD A6-9500E,35
AMD A6-9550,65
AMD A8-3500M,35
AMD A8-3510MX,45
AMD A8-3520M,35
AMD A8-3530MX,45
AMD A8-3550MX,45
AMD A8-3800,65
AMD A8-3820,65
AMD A8-3850,100
AMD A8-3870K,100
AMD A8-4500M,35
AMD A8-4555M,19
AMD A8-5500,65
AMD A8-5500B,65
AMD A8-5545M,25
AMD A8-5550M,35
AMD A8-5557M,35
AMD A8-5600K,100
AMD A8-6500,65
AMD A8-6600K,100
AMD A8-7680,45
AMD A8-9600,65
AMD A9-9400 SoC,10
AMD A9-9410 SoC,25
AMD A9-9420 SoC,15
AMD A9-9425 SoC,15
AMD Athlon 1000,54
AMD Athlon 1000,54
AMD Athlon 1100,60
AMD Athlon 1133,63
AMD Athlon 1200,66
AMD Athlon 1200,66
AMD Athlon 1300,68
AMD Athlon 1333,70
AMD Athlon 1400,72
AMD Athlon 1400,72
AMD Athlon 200GE,35
AMD Athlon 220GE,35
AMD Athlon 220GE,35
AMD Athlon 220GE,35
AMD Athlon 240GE,35
AMD Athlon 3000G,35
AMD Athlon 300U,15
AMD Athlon 600,38
AMD Athlon 64 1500+,9
AMD Athlon 64 2000+,8
AMD Athlon 64 2600+,15
AMD Athlon 64 2650e,15
AMD Athlon 64 2700+,32
AMD Athlon 64 2800+,89
AMD Athlon 64 2800+,89
AMD Athlon 64 2800+,32
AMD Athlon 64 2850e,22
AMD Athlon 64 3000+,89
AMD Athlon 64 3000+,51
AMD Athlon 64 3000+,51
AMD Athlon 64 3000+,62
AMD Athlon 64 3000+,67
AMD Athlon 64 3000+,67
AMD Athlon 64 3000+,32
AMD Athlon 64 3000+,89
AMD Athlon 64 3000+,89
AMD Athlon 64 3000+,62
AMD Athlon 64 3100+,25
AMD Athlon 64 3200+,89
AMD Athlon 64 3200+,59
AMD Athlon 64 3200+,67
AMD Athlon 64 3200+,89
AMD Athlon 64 3200+,89
AMD Athlon 64 3200+,67
AMD Athlon 64 3200+,67
AMD Athlon 64 3200+,62
AMD Athlon 64 3200+,45
AMD Athlon 64 3200+,62
AMD Athlon 64 3200+,89
AMD Athlon 64 3200+,83
AMD Athlon 64 3300+,89
AMD Athlon 64 3400+,67
AMD Athlon 64 3400+,89
AMD Athlon 64 3400+,89
AMD Athlon 64 3400+,89
AMD Athlon 64 3400+,89
AMD Athlon 64 3400+,83
AMD Athlon 64 3400+,67
AMD Athlon 64 3500+,67
AMD Athlon 64 3500+,89
AMD Athlon 64 3500+,89
AMD Athlon 64 3500+,62
AMD Athlon 64 3500+,67
AMD Athlon 64 3500+,67
AMD Athlon 64 3500+,45
AMD Athlon 64 3500+,67
AMD Athlon 64 3500+,62
AMD Athlon 64 3500+ (F3),59
AMD Athlon 64 3500+ EE,35
AMD Athlon 64 3600+,89
AMD Athlon 64 3700+,83
AMD Athlon 64 3700+,89
AMD Athlon 64 3700+,89
AMD Athlon 64 3700+,89
AMD Athlon 64 3800+,62
AMD Athlon 64 3800+,45
AMD Athlon 64 3800+,62
AMD Athlon 64 3800+,89
AMD Athlon 64 3800+,89
AMD Athlon 64 3800+,89
AMD Athlon 64 3800+ (F3),59
AMD Athlon 64 4000+,62
AMD Athlon 64 4000+,89
AMD Athlon 64 4000+,62
AMD Athlon 64 4000+,89
AMD Athlon 64 4000+,89
AMD Athlon 64 4000+ (F3),59
AMD Athlon 64 FX-51,89
AMD Athlon 64 FX-53,89
AMD Athlon 64 FX-53,89
AMD Athlon 64 FX-55,104
AMD Athlon 64 FX-55,104
AMD Athlon 64 FX-57,104
AMD Athlon 64 FX-60,110
AMD Athlon 64 FX-62,125
AMD Athlon 64 FX-70,125
AMD Athlon 64 FX-72,125
AMD Athlon 64 FX-74,125
AMD Athlon 64 FX-76,125
AMD Athlon 64 LE-1600,45
AMD Athlon 64 LE-1600,45
AMD Athlon 64 LE-1620,45
AMD Athlon 64 LE-1620,45
AMD Athlon 64 LE-1640,45
AMD Athlon 64 LE-1640,45
AMD Athlon 64 LE-1640,45
AMD Athlon 64 LE-1640B,45
AMD Athlon 64 LE-1660,45
AMD Athlon 64 X2 3600+,89
AMD Athlon 64 X2 3600+,65
AMD Athlon 64 X2 3600+ EE,65
AMD Athlon 64 X2 3800+,89
AMD Athlon 64 X2 3800+,89
AMD Athlon 64 X2 3800+,89
AMD Athlon 64 X2 3800+ EE,65
AMD Athlon 64 X2 3800+ EE SFF,35
AMD Athlon 64 X2 4000+,89
AMD Athlon 64 X2 4000+,65
AMD Athlon 64 X2 4000+ EE,65
AMD Athlon 64 X2 4200+,89
AMD Athlon 64 X2 4200+,89
AMD Athlon 64 X2 4200+,65
AMD Athlon 64 X2 4200+,89
AMD Athlon 64 X2 4200+ EE,65
AMD Athlon 64 X2 4400+,89
AMD Athlon 64 X2 4400+,110
AMD Athlon 64 X2 4400+,65
AMD Athlon 64 X2 4400+ EE,65
AMD Athlon 64 X2 4600+,110
AMD Athlon 64 X2 4600+,89
AMD Athlon 64 X2 4600+,65
AMD Athlon 64 X2 4600+,89
AMD Athlon 64 X2 4600+ EE,65
AMD Athlon 64 X2 4800+,65
AMD Athlon 64 X2 4800+,110
AMD Athlon 64 X2 4800+,89
AMD Athlon 64 X2 4800+ EE,65
AMD Athlon 64 X2 5000+,65
AMD Athlon 64 X2 5000+,89
AMD Athlon 64 X2 5000+ BE,65
AMD Athlon 64 X2 5000+ EE,65
AMD Athlon 64 X2 5000+ EE,65
AMD Athlon 64 X2 5200+,65
AMD Athlon 64 X2 5200+,89
AMD Athlon 64 X2 5200+ EE,65
AMD Athlon 64 X2 5400+,89
AMD Athlon 64 X2 5400+,65
