Entity,Code,Year,Carbon intensity of electricity (gCO2/kWh)
Austria,AUT,2000,158
Austria,AUT,2001,176
Austria,AUT,2002,168
Austria,AUT,2003,213
Austria,AUT,2004,197
Austria,AUT,2005,189
Austria,AUT,2006,183
Austria,AUT,2007,169
Austria,AUT,2008,159
Austria,AUT,2009,137
Austria,AUT,2010,156
Austria,AUT,2011,164
Austria,AUT,2012,121
Austria,AUT,2013,109
Austria,AUT,2014,94
Austria,AUT,2015,110
Austria,AUT,2016,98
Austria,AUT,2017,107
Austria,AUT,2018,102
Austria,AUT,2019,99
Austria,AUT,2020,83
Belgium,BEL,2000,270
Belgium,BEL,2001,257
Belgium,BEL,2002,263
Belgium,BEL,2003,266
Belgium,BEL,2004,271
Belgium,BEL,2005,275
Belgium,BEL,2006,253
Belgium,BEL,2007,242
Belgium,BEL,2008,238
Belgium,BEL,2009,213
Belgium,BEL,2010,213
Belgium,BEL,2011,194
Belgium,BEL,2012,208
Belgium,BEL,2013,190
Belgium,BEL,2014,205
Belgium,BEL,2015,227
Belgium,BEL,2016,172
Belgium,BEL,2017,177
Belgium,BEL,2018,207
Belgium,BEL,2019,184
Belgium,BEL,2020,192
Bulgaria,BGR,2000,476
Bulgaria,BGR,2001,525
Bulgaria,BGR,2002,483
Bulgaria,BGR,2003,536
Bulgaria,BGR,2004,536
Bulgaria,BGR,2005,505
Bulgaria,BGR,2006,497
Bulgaria,BGR,2007,602
Bulgaria,BGR,2008,568
Bulgaria,BGR,2009,526
Bulgaria,BGR,2010,529
Bulgaria,BGR,2011,583
Bulgaria,BGR,2012,525
Bulgaria,BGR,2013,481
Bulgaria,BGR,2014,476
Bulgaria,BGR,2015,486
Bulgaria,BGR,2016,462
Bulgaria,BGR,2017,497
Bulgaria,BGR,2018,425
Bulgaria,BGR,2019,424
Bulgaria,BGR,2020,352
Croatia,HRV,2000,292
Croatia,HRV,2001,305
Croatia,HRV,2002,363
Croatia,HRV,2003,389
Croatia,HRV,2004,288
Croatia,HRV,2005,305
Croatia,HRV,2006,314
Croatia,HRV,2007,396
Croatia,HRV,2008,344
Croatia,HRV,2009,271
Croatia,HRV,2010,216
Croatia,HRV,2011,306
Croatia,HRV,2012,290
Croatia,HRV,2013,206
Croatia,HRV,2014,178
Croatia,HRV,2015,212
Croatia,HRV,2016,210
Croatia,HRV,2017,195
Croatia,HRV,2018,135
Croatia,HRV,2019,172
Croatia,HRV,2020,164
Cyprus,CYP,2000,849
Cyprus,CYP,2001,787
Cyprus,CYP,2002,767
Cyprus,CYP,2003,774
Cyprus,CYP,2004,782
Cyprus,CYP,2005,800
Cyprus,CYP,2006,793
Cyprus,CYP,2007,796
Cyprus,CYP,2008,793
Cyprus,CYP,2009,776
Cyprus,CYP,2010,735
Cyprus,CYP,2011,759
Cyprus,CYP,2012,757
Cyprus,CYP,2013,666
Cyprus,CYP,2014,682
Cyprus,CYP,2015,670
Cyprus,CYP,2016,679
Cyprus,CYP,2017,661
Cyprus,CYP,2018,664
Cyprus,CYP,2019,660
Cyprus,CYP,2020,653
Czechia,CZE,2000,688
Czechia,CZE,2001,687
Czechia,CZE,2002,664
Czechia,CZE,2003,599
Czechia,CZE,2004,597
Czechia,CZE,2005,616
Czechia,CZE,2006,613
Czechia,CZE,2007,615
Czechia,CZE,2008,602
Czechia,CZE,2009,572
Czechia,CZE,2010,554
Czechia,CZE,2011,544
Czechia,CZE,2012,508
Czechia,CZE,2013,477
Czechia,CZE,2014,481
Czechia,CZE,2015,495
Czechia,CZE,2016,505
Czechia,CZE,2017,453
Czechia,CZE,2018,445
Czechia,CZE,2019,423
Czechia,CZE,2020,386
Denmark,DNK,2000,479
Denmark,DNK,2001,470
Denmark,DNK,2002,463
Denmark,DNK,2003,490
Denmark,DNK,2004,424
Denmark,DNK,2005,388
Denmark,DNK,2006,475
Denmark,DNK,2007,442
Denmark,DNK,2008,414
Denmark,DNK,2009,412
Denmark,DNK,2010,368
Denmark,DNK,2011,331
Denmark,DNK,2012,272
Denmark,DNK,2013,311
Denmark,DNK,2014,268
Denmark,DNK,2015,192
Denmark,DNK,2016,231
Denmark,DNK,2017,176
