,Country,Code,Year,Carbon intensity of electricity (gCO2/kWh),% Fossil,% Geothermal,% Hydro,% Nuclear,% Solar,% Wind
20,Austria,AUT,2020,83,20.4,0.0,66.7,0.0,2.2,10.7
41,Belgium,BEL,2020,192,36.1,0.0,0.4,41.5,6.1,15.9
122,Czechia,CZE,2020,386,51.5,0.0,3.1,41.2,3.2,1.0
143,Denmark,DNK,2020,116,19.3,0.0,0.1,0.0,5.4,75.2
164,Estonia,EST,2020,669,78.4,0.0,0.9,0.0,1.3,19.4
185,Finland,FIN,2020,67,16.3,0.0,28.3,40.5,1.0,13.9
206,France,FRA,2020,55,8.9,0.0,12.2,67.3,2.8,8.7
227,Germany,DEU,2020,301,46.0,0.0,4.0,12.6,10.4,26.9
248,Greece,GRC,2020,522,57.3,0.0,8.4,0.0,10.9,23.3
269,Hungary,HUN,2020,218,39.3,0.1,0.8,50.0,7.8,2.1
290,Ireland,IRL,2020,293,63.3,0.0,3.1,0.0,0.0,33.6
311,Italy,ITA,2020,212,61.5,2.3,18.3,0.0,10.6,7.3
332,Latvia,LVA,2020,92,39.8,0.0,56.3,0.0,0.1,3.9
353,Lithuania,LTU,2020,146,45.1,0.0,10.7,0.0,2.1,42.0
374,Luxembourg,LUX,2020,69,22.7,0.0,16.5,0.0,23.4,37.4
415,Netherlands,NLD,2020,318,76.6,0.0,0.0,3.7,7.7,12.0
436,Poland,POL,2020,724,85.7,0.0,1.6,0.0,1.4,11.3
457,Portugal,PRT,2020,201,44.3,0.4,25.6,0.0,3.5,26.1
498,Slovakia,SVK,2020,90,22.2,0.0,18.1,57.0,2.7,0.0
519,Slovenia,SVN,2020,219,28.1,0.0,31.7,38.1,2.1,0.0
540,Spain,ESP,2020,190,33.9,0.0,12.6,22.9,8.1,22.5
561,Sweden,SWE,2020,13,0.1,0.0,48.4,32.2,0.5,18.8
582,United Kingdom,GBR,2020,209,44.7,0.0,2.3,18.0,5.1,29.8
