ISO,Country,Carbon intensity of electricity (gCO2/kWh),Year,% Fossil,% Geothermal,% Hydro,% Nuclear,% Solar,% Wind
AFG,Afghanistan,109.0,2019,,,,,,
ALB,Albania,26.0,2019,0.0,0.0,99.6,0.0,0.4,0.0
DZA,Algeria,629.0,2019,,,,,,
AGO,Angola,176.0,2019,,,,,,
ATG,Antigua and Barbuda,612.0,2019,,,,,,
ARG,Argentina,444.0,2019,68.6,0.0,20.9,6.1,0.6,3.8
ARM,Armenia,267.0,2019,39.5,0.0,32.3,28.0,0.2,0.0
ABW,Aruba,543.0,2019,,,,,,
AUS,Australia,497.0,2019,79.7,0.0,6.2,0.0,5.7,8.5
AUT,Austria,83.0,2019,22.9,0.0,63.8,0.0,2.2,11.2
AZE,Azerbaijan,592.0,2019,92.9,0.0,6.3,0.0,0.2,0.6
BHS,Bahamas,634.0,2019,,,,,,
BHR,Bahrain,635.0,2019,,,,,,
BGD,Bangladesh,624.0,2019,,,,,,
BRB,Barbados,613.0,2019,,,,,,
BLR,Belarus,624.0,2019,98.1,0.0,0.9,0.0,0.5,0.5
BEL,Belgium,192.0,2019,32.6,0.0,0.1,50.8,4.9,11.5
BLZ,Belize,65.0,2019,,,,,,
BEN,Benin,619.0,2019,,,,,,
BMU,Bermuda,635.0,2019,,,,,,
BTN,Bhutan,26.0,2019,,,,,,
BOL,Bolivia,412.0,2019,63.3,0.0,34.0,0.0,2.0,0.7
BIH,Bosnia and Herzegovina,399.0,2019,61.3,0.0,37.0,0.0,0.2,1.6
BWA,Botswana,634.0,2019,,,,,,
BRA,Brazil,123.0,2019,15.9,0.0,70.2,2.7,1.2,10.0
,Brunei,,2019,,,,,,
BGR,Bulgaria,352.0,2019,45.8,0.0,8.3,39.2,3.5,3.3
BFA,Burkina Faso,543.0,2019,,,,,,
MMR,Burma (Myanmar),340.0,2019,51.6,0.0,48.3,0.0,0.1,0.0
BDI,Burundi,252.0,2019,,,,,,
KHM,Cambodia,270.0,2019,,,,,,
CMR,Cameroon,270.0,2019,,,,,,
CAN,Canada,129.0,2019,18.3,0.0,60.8,15.3,0.7,4.9
,Cape Verde,,2019,,,,,,
CAF,Central African Republic,30.0,2019,,,,,,
TCD,Chad,611.0,2019,,,,,,
CHL,Chile,363.0,2019,56.7,0.3,27.9,0.0,8.3,6.9
CHN,China,444.0,2019,68.5,0.0,17.9,4.7,3.2,5.8
COL,Colombia,218.0,2019,26.5,0.0,73.2,0.0,0.2,0.1
COM,Comoros,633.0,2019,,,,,,
HRV,Croatia,164.0,2019,35.3,0.0,51.3,0.0,0.7,12.6
CUB,Cuba,625.0,2019,,,,,,
CYP,Cyprus,653.0,2019,90.5,0.0,0.0,0.0,4.5,5.0
CZE,Czechia,386.0,2019,56.0,0.0,2.6,37.5,3.0,0.9
COD,Democratic Republic of the Congo,26.0,2019,,,,,,
DNK,Denmark,116.0,2019,22.6,0.0,0.1,0.0,4.3,73.0
DJI,Djibouti,621.0,2019,,,,,,
DMA,Dominica,492.0,2019,76.5,0.0,22.2,0.0,0.2,1.1
DOM,Dominican Republic,553.0,2019,,,,,,
ECU,Ecuador,156.0,2019,21.4,0.0,78.2,0.0,0.1,0.3
EGY,Egypt,580.0,2019,,,,,,
SLV,El Salvador,250.0,2019,36.1,29.0,30.4,0.0,4.5,0.0
GNQ,Equatorial Guinea,386.0,2019,,,,,,
ERI,Eritrea,579.0,2019,,,,,,
EST,Estonia,669.0,2019,87.2,0.0,0.3,0.0,0.9,11.6
ETH,Ethiopia,26.0,2019,,,,,,
FRO,Faroe Islands,371.0,2019,56.6,0.0,26.7,0.0,0.0,16.7
FJI,Fiji,289.0,2019,,,,,,
FIN,Finland,67.0,2019,21.8,0.0,23.2,43.2,0.6,11.3
FRA,France,55.0,2019,9.0,0.0,10.6,71.2,2.2,7.0
GAB,Gabon,383.0,2019,,,,,,
GMB,Gambia,629.0,2019,,,,,,
GEO,Georgia,167.0,2019,23.1,0.0,76.2,0.0,0.0,0.7
DEU,Germany,301.0,2019,50.8,0.0,3.8,13.5,8.5,23.4
GHA,Ghana,327.0,2019,,,,,,
GIB,Gibraltar,635.0,2019,,,,,,
GRC,Greece,522.0,2019,66.1,0.0,8.9,0.0,8.8,16.2
GRD,Grenada,626.0,2019,,,,,,
GTM,Guatemala,338.0,2019,51.1,2.5,41.1,0.0,2.1,3.1
GIN,Guinea,418.0,2019,,,,,,
GNB,Guinea-Bissau,607.0,2019,,,,,,
GUY,Guyana,630.0,2019,,,,,,
HTI,Haiti,515.0,2019,,,,,,
HND,Honduras,242.0,2019,,,,,,
HKG,Hong Kong,635.0,2019,100.0,0.0,0.0,0.0,0.0,0.0
HUN,Hungary,218.0,2019,40.5,0.1,0.7,51.7,4.7,2.4
ISL,Iceland,30.0,2019,0.0,30.8,69.2,0.0,0.0,0.0
IND,India,510.0,2019,79.3,0.0,10.4,2.7,3.3,4.3
IDN,Indonesia,553.0,2019,86.5,5.5,7.8,0.0,0.0,0.2
IRN,Iran,562.0,2019,88.1,0.0,9.8,1.9,0.1,0.1
IRQ,Iraq,620.0,2019,,,,,,
IRL,Ireland,293.0,2019,62.9,0.0,3.1,0.0,0.1,33.9
ISR,Israel,612.0,2019,96.0,0.0,0.0,0.0,3.9,0.1
ITA,Italy,212.0,2019,63.0,2.2,17.7,0.0,9.2,7.8
CIV,Ivory Coast,448.0,2019,,,,,,
JAM,Jamaica,558.0,2019,,,,,,
JPN,Japan,482.0,2019,74.1,0.3,8.9,7.4,8.4,1.0
JOR,Jordan,568.0,2019,,,,,,
KAZ,Kazakhstan,571.0,2019,89.5,0.0,9.7,0.0,0.2,0.5
KEN,Kenya,98.0,2019,10.9,46.3,28.1,0.0,0.8,13.8
KIR,Kiribati,540.0,2019,,,,,,
KWT,Kuwait,634.0,2019,,,,,,
KGZ,Kyrgyzstan,73.0,2019,7.6,0.0,92.4,0.0,0.0,0.0
LAO,Laos,232.0,2019,,,,,,
LVA,Latvia,92.0,2019,57.6,0.0,39.4,0.0,0.1,2.9
LBN,Lebanon,622.0,2019,,,,,,
LSO,Lesotho,26.0,2019,,,,,,
LBR,Liberia,629.0,2019,,,,,,
LBY,Libya,635.0,2019,,,,,,
LTU,Lithuania,146.0,2019,22.6,0.0,13.9,0.0,3.2,60.2
LUX,Luxembourg,69.0,2019,27.4,0.0,17.5,0.0,18.1,37.0
MAC,Macao,635.0,2019,100.0,0.0,0.0,0.0,0.0,0.0
MDG,Madagascar,369.0,2019,,,,,,
MWI,Malawi,93.0,2019,,,,,,
MYS,Malaysia,531.0,2019,82.9,0.0,16.6,0.0,0.5,0.0
MDV,Maldives,632.0,2019,,,,,,
MLI,Mali,391.0,2019,,,,,,
MLT,Malta,356.0,2019,89.7,0.0,0.0,0.0,10.3,0.0
MRT,Mauritania,357.0,2019,,,,,,
MUS,Mauritius,590.0,2019,,,,,,
MEX,Mexico,488.0,2019,79.6,1.6,7.7,3.5,2.1,5.4
MDA,Moldova,596.0,2019,93.6,0.0,5.6,0.0,0.1,0.8
MNG,Mongolia,590.0,2019,,,,,,
MNE,Montenegro,267.0,2019,,,,,,
MSR,Montserrat,635.0,2019,,,,,,
MAR,Morocco,510.0,2019,79.4,0.0,4.3,0.0,4.1,12.2
MOZ,Mozambique,122.0,2019,,,,,,
NAM,Namibia,37.0,2019,,,,,,
NPL,Nepal,26.0,2019,,,,,,
NLD,Netherlands,318.0,2019,82.8,0.0,0.1,3.5,4.8,8.8
NCL,New Caledonia,560.0,2019,,,,,,
NZL,New Zealand,151.0,2019,17.9,17.4,59.2,0.0,0.3,5.2
NIC,Nicaragua,314.0,2019,,,,,,
NER,Niger,610.0,2019,,,,,,
NGA,Nigeria,521.0,2019,,,,,,
,North Korea,,2019,,,,,,
MKD,North Macedonia,494.0,2019,76.9,0.0,20.8,0.0,0.4,1.8
NOR,Norway,33.0,2019,1.8,0.0,94.0,0.0,0.0,4.2
OMN,Oman,635.0,2019,,,,,,
PAK,Pakistan,417.0,2019,,,,,,
PAN,Panama,158.0,2019,,,,,,
PNG,Papua New Guinea,517.0,2019,,,,,,
PRY,Paraguay,26.0,2019,0.0,0.0,100.0,0.0,0.0,0.0
PER,Peru,262.0,2019,38.7,0.0,56.9,0.0,1.4,3.0
PHL,Philippines,509.0,2019,79.1,10.7,8.0,0.0,1.2,1.0
POL,Poland,724.0,2019,88.1,0.0,1.3,0.0,0.5,10.1
PRT,Portugal,201.0,2019,48.9,0.4,18.7,0.0,2.8,29.3
PRI,Puerto Rico,595.0,2019,,,,,,
QAT,Qatar,635.0,2019,,,,,,
COG,Republic of the Congo,413.0,2019,,,,,,
ROU,Romania,208.0,2019,39.5,0.0,27.4,18.1,3.1,11.8
RUS,Russia,411.0,2019,63.1,0.0,18.2,18.5,0.1,0.0
RWA,Rwanda,312.0,2019,,,,,,
LCA,Saint Lucia,630.0,2019,,,,,,
VCT,Saint Vincent and the Grenadines,529.0,2019,,,,,,
WSM,Samoa,438.0,2019,,,,,,
STP,Sao Tome and Principe,586.0,2019,,,,,,
SAU,Saudi Arabia,635.0,2019,,,,,,
SEN,Senegal,575.0,2019,,,,,,
SRB,Serbia,448.0,2019,,,,,,
SYC,Seychelles,628.0,2019,,,,,,
SLE,Sierra Leone,217.0,2019,,,,,,
SGP,Singapore,631.0,2019,99.3,0.0,0.0,0.0,0.7,0.0
SVK,Slovakia,90.0,2019,22.4,0.0,17.3,57.9,2.4,0.0
SVN,Slovenia,219.0,2019,31.5,0.0,29.6,36.9,2.0,0.0
SLB,Solomon Islands,618.0,2019,,,,,,
SOM,Somalia,606.0,2019,,,,,,
ZAF,South Africa,568.0,2019,88.9,0.0,0.5,5.8,2.1,2.8
KOR,South Korea,435.0,2019,70.6,0.0,0.5,26.0,2.4,0.5
ESP,Spain,190.0,2019,41.2,0.0,9.5,22.0,5.7,21.6
LKA,Sri Lanka,355.0,2019,,,,,,
SDN,Sudan,265.0,2019,,,,,,
SUR,Suriname,312.0,2019,,,,,,
SWZ,Swaziland,383.0,2019,,,,,,
SWE,Sweden,13.0,2019,1.4,0.0,42.5,42.5,0.4,13.1
CHE,Switzerland,33.0,2019,1.0,0.0,57.1,38.5,3.2,0.2
SYR,Syria,609.0,2019,,,,,,
TWN,Taiwan,533.0,2019,83.1,0.0,2.2,12.3,1.6,0.7
TJK,Tajikistan,68.0,2019,6.9,0.0,93.1,0.0,0.0,0.0
TZA,Tanzania,431.0,2019,,,,,,
THA,Thailand,583.0,2019,,,,,,
TGO,Togo,624.0,2019,,,,,,
TON,Tonga,635.0,2019,,,,,,
TTO,Trinidad and Tobago,635.0,2019,,,,,,
TUN,Tunisia,615.0,2019,,,,,,
TUR,Turkey,380.0,2019,56.0,2.6,30.7,0.0,3.2,7.5
TKM,Turkmenistan,635.0,2019,,,,,,
UGA,Uganda,69.0,2019,,,,,,
UKR,Ukraine,260.0,2019,38.1,0.0,5.4,54.8,0.7,1.0
ARE,United Arab Emirates,616.0,2019,96.8,0.0,0.0,0.0,3.2,0.0
GBR,United Kingdom,209.0,2019,49.8,0.0,2.2,19.1,4.8,24.1
URY,Uruguay,39.0,2019,2.0,0.0,59.6,0.0,3.1,35.3
USA,USA,397.0,2019,63.0,0.4,7.0,19.8,2.6,7.2
UZB,Uzbekistan,575.0,2019,,,,,,
VUT,Vanuatu,549.0,2019,,,,,,
VEN,Venezuela,272.0,2019,,,,,,
VNM,Vietnam,414.0,2019,,,,,,
YEM,Yemen,556.0,2019,,,,,,
ZMB,Zambia,116.0,2019,,,,,,
ZWE,Zimbabwe,294.0,2019,,,,,,
