ISO,Country,CarbonIntensity
ABW,Aruba,542.8195532899147
AFG,Afghanistan,108.65829596412556
AGO,Angola,175.60894163125997
AIA,Anguilla,475.00000000000006
ALA,Aland Islands,475.00000000000006
ALB,Albania,26.093509584732434
AND,Andorra,475.00000000000006
ARE,United Arab Emirates,616.1694930896842
ARG,Argentina,444.37883343447214
ARM,Armenia,267.2548553222159
ASM,American Samoa,475.00000000000006
ATA,Antarctica,475.00000000000006
ATF,French Southern Territories,475.00000000000006
ATG,Antigua and Barbuda,612.301201219855
AUS,Australia,497.05195469663016
AUT,Austria,83.0
AZE,Azerbaijan,591.9734024859424
BDI,Burundi,252.34661354581678
BEL,Belgium,192.0
BEN,Benin,619.2553079672062
BES,Bonaire,475.00000000000006
BFA,Burkina Faso,542.6519898391193
BGD,Bangladesh,623.7893758329577
BGR,Bulgaria,352.0
BHR,Bahrain,634.8037702884081
BHS,Bahamas,633.9228271393697
BIH,Bosnia and Herzegovina,399.22020637072393
BLM,Saint Barthelemy,475.00000000000006
BLR,Belarus,623.6445329659306
BLZ,Belize,64.99979703978771
BMU,Bermuda,635.0
BOL,Bolivia,411.6822458920665
BRA,Brazil,123.0679791710028
BRB,Barbados,613.3303586275705
BRN,Brunei Darussalam,634.7091525289361
BTN,Bhutan,26.005648771344337
BVT,Bouvet Island,475.00000000000006
BWA,Botswana,634.0117046495341
CAF,Central African Republic,30.033112582781456
CAN,Canada,128.99372681173153
CCK,Cocos Islands,475.00000000000006
CHE,Switzerland,32.865528742507365
CHL,Chile,363.064199240276
CHN,China,443.9335524529202
CIV,Ivory Coast,447.63611431538277
CMR,Cameroon,269.80446298447816
COD,Democratic Republic of the Congo,26.40454963059373
COG,Republic of the Congo,412.53335396536795
COK,Cook Islands,475.00000000000006
COL,Colombia,217.89458375455692
COM,Comoros,632.5737051792829
CPV,Cabo Verde,524.5644171779142
CRI,Costa Rica,475.00000000000006
CUB,Cuba,625.2339885945154
CUW,Curacao,475.00000000000006
CXR,Christmas Island,475.00000000000006
CYM,Cayman Islands,475.00000000000006
CYP,Cyprus,653.0
CZE,Czechia,386.0
DEU,Germany,301.0
DJI,Djibouti,620.6829268292682
DMA,Dominica,492.02182350462414
DNK,Denmark,116.0
DOM,Dominican Republic,552.9255564199628
DZA,Algeria,629.0158445331427
ECU,Ecuador,156.345203205112
EGY,Egypt,580.1686021013187
ERI,Eritrea,578.5770034545999
ESH,Western Sahara,475.00000000000006
ESP,Spain,190.0
EST,Estonia,669.0
ETH,Ethiopia,26.25927567619025
FIN,Finland,67.0
FJI,Fiji,288.6229467054905
FLK,Falkland Islands,475.00000000000006
FRA,France,55.0
FRO,Faroe Islands,370.53640649554745
FSM,Micronesia,475.00000000000006
GAB,Gabon,382.76517057485336
GBR,United Kingdom,209.0
GEO,Georgia,166.6424155967665
GGY,Guernsey,475.00000000000006
GHA,Ghana,326.68597891134675
GIB,Gibraltar,635.0
GIN,Guinea,417.54979784429804
GLP,Guadeloupe,475.00000000000006
GMB,Gambia,629.1810923027787
GNB,Guinea-Bissau,607.047619047619
GNQ,Equatorial Guinea,386.4455341062585
GRC,Greece,522.0
GRD,Grenada,625.5470700475872
GRL,Greenland,475.00000000000006
GTM,Guatemala,338.15371749882956
GUF,French Guiana,475.00000000000006
GUM,Guam,475.00000000000006
GUY,Guyana,630.1225457164767
HKG,Hong Kong,634.9654225331753
HMD,Heard Island and McDonald Islands,475.00000000000006
HND,Honduras,242.4894298282213
HRV,Croatia,164.0
HTI,Haiti,514.8164728389469
HUN,Hungary,218.0
IDN,Indonesia,553.4678770276502
IMN,Isle of Man,475.00000000000006
IND,India,509.7521462252883
IOT,British Indian Ocean Territory,475.00000000000006
IRL,Ireland,293.0
IRN,Iran,562.3401649459236
IRQ,Iraq,620.4533166533505
ISL,Iceland,29.825480727451314
ISR,Israel,611.7352644022956
ITA,Italy,212.0
JAM,Jamaica,558.1950241466731
JEY,Jersey,475.00000000000006
JOR,Jordan,568.013146454642
JPN,Japan,482.0874547312659
KAZ,Kazakhstan,571.3176456431332
KEN,Kenya,98.2625475790033
KGZ,Kyrgyzstan,72.56015509287649
KHM,Cambodia,270.45145326611174
KIR,Kiribati,539.8389918557496
KNA,Saint Kitts and Nevis,475.00000000000006
KOR,South Korea,435.05854958278525
KWT,Kuwait,634.2865058539134
LAO,Laos,231.89040137548105
LBN,Lebanon,622.3205195439477
LBR,Liberia,628.7219251336898
LBY,Libya,634.8538038094443
LCA,Saint Lucia,630.0918019261586
LIE,Liechtenstein,475.00000000000006
LKA,Sri Lanka,355.4287853603303
LSO,Lesotho,26.040765653084293
LTU,Lithuania,146.0
LUX,Luxembourg,69.0
LVA,Latvia,92.0
MAC,Macao,635.0
MAF,Saint Martin,475.00000000000006
MAR,Morocco,510.2963626388569
MCO,Monaco,475.00000000000006
MDA,Moldova,595.8102940763681
MDG,Madagascar,369.4647803438406
MDV,Maldives,632.493827160494
MEX,Mexico,488.3573729294729
MHL,Marshall Islands,475.00000000000006
MKD,North Macedonia,494.46595321595146
MLI,Mali,390.91570809626626
MLT,Malta,356.0
MMR,Burma (Myanmar),340.3284210611153
MNE,Montenegro,266.81115737021076
MNG,Mongolia,589.9851181550403
MNP,Northern Mariana Islands,475.00000000000006
MOZ,Mozambique,121.76485650506889
MRT,Mauritania,356.8636507434357
MSR,Montserrat,635.0
MTQ,Martinique,475.00000000000006
MUS,Mauritius,590.086407562942
MWI,Malawi,93.14313823811307
MYS,Malaysia,531.1559876489628
MYT,Mayotte,475.00000000000006
NAM,Namibia,36.642829375475365
NCL,New Caledonia,560.1488986305832
NER,Niger,610.3309518806471
NFK,Norfolk Island,475.00000000000006
NGA,Nigeria,521.3756150524167
NIC,Nicaragua,313.58105698220874
